sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10236333,9145000000,9145236333,236333
1,20237291,9155000000,9155237291,237291
2,30236500,9165000000,9165236500,236500
3,40240375,9175000000,9175240375,240375
4,50238416,9185000000,9185238416,238416
5,60238500,9195000000,9195238500,238500
6,70237708,9205000000,9205237708,237708
7,80236041,9215000000,9215236041,236041
8,90238750,9225000000,9225238750,238750
9,100235916,9235000000,9235235916,235916
10,110236583,9245000000,9245236583,236583
11,120237541,9255000000,9255237541,237541
12,130237041,9265000000,9265237041,237041
13,140241208,9275000000,9275241208,241208
14,150246250,9285000000,9285246250,246250
15,160243416,9295000000,9295243416,243416
16,170243208,9305000000,9305243208,243208
17,180240375,9315000000,9315240375,240375
18,190259125,9325000000,9325259125,259125
19,200237041,9335000000,9335237041,237041
20,210235083,9345000000,9345235083,235083
21,220236333,9355000000,9355236333,236333
22,230237291,9365000000,9365237291,237291
23,240240000,9375000000,9375240000,240000
24,250615458,9385000000,9385615458,615458
25,260238125,9395000000,9395238125,238125
26,270237333,9405000000,9405237333,237333
27,280235375,9415000000,9415235375,235375
28,290238375,9425000000,9425238375,238375
29,300235833,9435000000,9435235833,235833
30,310236500,9445000000,9445236500,236500
31,320241541,9455000000,9455241541,241541
32,330238416,9465000000,9465238416,238416
33,340236166,9475000000,9475236166,236166
34,350237416,9485000000,9485237416,237416
35,360239833,9495000000,9495239833,239833
36,370241083,9505000000,9505241083,241083
37,380238250,9515000000,9515238250,238250
38,390241541,9525000000,9525241541,241541
39,400240166,9535000000,9535240166,240166
40,410240833,9545000000,9545240833,240833
41,420243541,9555000000,9555243541,243541
42,430256750,9565000000,9565256750,256750
43,440239625,9575000000,9575239625,239625
44,450237375,9585000000,9585237375,237375
45,460239791,9595000000,9595239791,239791
46,470239000,9605000000,9605239000,239000
47,480237333,9615000000,9615237333,237333
48,490236541,9625000000,9625236541,236541
49,500241875,9635000000,9635241875,241875
50,510239041,9645000000,9645239041,239041
51,520291916,9655000000,9655291916,291916
52,530237166,9665000000,9665237166,237166
53,540235500,9675000000,9675235500,235500
54,550237041,9685000000,9685237041,237041
55,560239166,9695000000,9695239166,239166
56,570236916,9705000000,9705236916,236916
57,580237000,9715000000,9715237000,237000
58,590237083,9725000000,9725237083,237083
59,600238041,9735000000,9735238041,238041
60,610239291,9745000000,9745239291,239291
61,620242875,9755000000,9755242875,242875
62,630241208,9765000000,9765241208,241208
63,640742666,9775000000,9775742666,742666
64,650242541,9785000000,9785242541,242541
65,660265958,9795000000,9795265958,265958
66,670256416,9805000000,9805256416,256416
67,680236958,9815000000,9815236958,236958
68,690236458,9825000000,9825236458,236458
69,700236541,9835000000,9835236541,236541
70,710239833,9845000000,9845239833,239833
71,720238458,9855000000,9855238458,238458
72,730241166,9865000000,9865241166,241166
73,740238333,9875000000,9875238333,238333
74,750235791,9885000000,9885235791,235791
75,760193000,9895000000,9895193000,193000
76,770239458,9905000000,9905239458,239458
77,780235750,9915000000,9915235750,235750
78,790238458,9925000000,9925238458,238458
79,800236791,9935000000,9935236791,236791
80,810236291,9945000000,9945236291,236291
81,820237833,9955000000,9955237833,237833
82,830237916,9965000000,9965237916,237916
83,840238291,9975000000,9975238291,238291
84,850237208,9985000000,9985237208,237208
85,860239916,9995000000,9995239916,239916
86,870245250,10005000000,10005245250,245250
87,880237750,10015000000,10015237750,237750
88,890239583,10025000000,10025239583,239583
89,900242291,10035000000,10035242291,242291
90,910213791,10045000000,10045213791,213791
91,920237500,10055000000,10055237500,237500
92,930236708,10065000000,10065236708,236708
93,940236500,10075000000,10075236500,236500
94,950236875,10085000000,10085236875,236875
95,960242208,10095000000,10095242208,242208
96,970240541,10105000000,10105240541,240541
97,980257250,10115000000,10115257250,257250
98,990242458,10125000000,10125242458,242458
99,1000245458,10135000000,10135245458,245458
100,1010237666,10145000000,10145237666,237666
101,1020237458,10155000000,10155237458,237458
102,1030238416,10165000000,10165238416,238416
103,1040237333,10175000000,10175237333,237333
104,1050242083,10185000000,10185242083,242083
105,1060238666,10195000000,10195238666,238666
106,1070239041,10205000000,10205239041,239041
107,1080237958,10215000000,10215237958,237958
108,1090237750,10225000000,10225237750,237750
109,1100236083,10235000000,10235236083,236083
110,1110236458,10245000000,10245236458,236458
111,1120236833,10255000000,10255236833,236833
112,1130237500,10265000000,10265237500,237500
113,1140237000,10275000000,10275237000,237000
114,1150236791,10285000000,10285236791,236791
115,1160239500,10295000000,10295239500,239500
116,1170240750,10305000000,10305240750,240750
117,1180239666,10315000000,10315239666,239666
118,1190240041,10325000000,10325240041,240041
119,1200241875,10335000000,10335241875,241875
120,1210237291,10345000000,10345237291,237291
121,1220240000,10355000000,10355240000,240000
122,1230244166,10365000000,10365244166,244166
123,1240240166,10375000000,10375240166,240166
124,1250260375,10385000000,10385260375,260375
125,1260238583,10395000000,10395238583,238583
126,1270241291,10405000000,10405241291,241291
127,1280236416,10415000000,10415236416,236416
128,1290241166,10425000000,10425241166,241166
129,1300239208,10435000000,10435239208,239208
130,1310246875,10445000000,10445246875,246875
131,1320238208,10455000000,10455238208,238208
132,1330238000,10465000000,10465238000,238000
133,1340237500,10475000000,10475237500,237500
134,1350239041,10485000000,10485239041,239041
135,1360237666,10495000000,10495237666,237666
136,1370236291,10505000000,10505236291,236291
137,1380237250,10515000000,10515237250,237250
138,1390237333,10525000000,10525237333,237333
139,1400235666,10535000000,10535235666,235666
140,1410249458,10545000000,10545249458,249458
141,1420237291,10555000000,10555237291,237291
142,1430238833,10565000000,10565238833,238833
143,1440241250,10575000000,10575241250,241250
144,1450241041,10585000000,10585241041,241041
145,1460240833,10595000000,10595240833,240833
146,1470244708,10605000000,10605244708,244708
147,1480241875,10615000000,10615241875,241875
148,1490241375,10625000000,10625241375,241375
149,1500194791,10635000000,10635194791,194791
150,1510236291,10645000000,10645236291,236291
151,1520236958,10655000000,10655236958,236958
152,1530237916,10665000000,10665237916,237916
153,1540237125,10675000000,10675237125,237125
154,1550239541,10685000000,10685239541,239541
155,1560236708,10695000000,10695236708,236708
156,1570237958,10705000000,10705237958,237958
157,1580237166,10715000000,10715237166,237166
158,1590237250,10725000000,10725237250,237250
159,1600236166,10735000000,10735236166,236166
160,1610236250,10745000000,10745236250,236250
161,1620238083,10755000000,10755238083,238083
162,1630237000,10765000000,10765237000,237000
163,1640236500,10775000000,10775236500,236500
164,1651060541,10785000000,10786060541,1060541
165,1660237833,10795000000,10795237833,237833
166,1670236750,10805000000,10805236750,236750
167,1680242666,10815000000,10815242666,242666
168,1690238666,10825000000,10825238666,238666
169,1700240500,10835000000,10835240500,240500
170,1710242916,10845000000,10845242916,242916
171,1720240083,10855000000,10855240083,240083
172,1730240458,10865000000,10865240458,240458
173,1740239958,10875000000,10875239958,239958
174,1750263958,10885000000,10885263958,263958
175,1760235458,10895000000,10895235458,235458
176,1770237000,10905000000,10905237000,237000
177,1780237375,10915000000,10915237375,237375
178,1790238041,10925000000,10925238041,238041
179,1800236375,10935000000,10935236375,236375
180,1810239958,10945000000,10945239958,239958
181,1820238000,10955000000,10955238000,238000
182,1830236916,10965000000,10965236916,236916
183,1840237583,10975000000,10975237583,237583
184,1850543333,10985000000,10985543333,543333
185,1860237166,10995000000,10995237166,237166
186,1870240458,11005000000,11005240458,240458
187,1880237333,11015000000,11015237333,237333
188,1890237125,11025000000,11025237125,237125
189,1900238958,11035000000,11035238958,238958
190,1910237000,11045000000,11045237000,237000
191,1920237083,11055000000,11055237083,237083
