sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10247708,7790000083,7790247791,247708
1,20247208,7800000083,7800247291,247208
2,30246708,7810000083,7810246791,246708
3,40245041,7820000083,7820245125,245042
4,50248625,7830000083,7830248708,248625
5,60246083,7840000083,7840246166,246083
6,70245583,7850000083,7850245666,245583
7,80246833,7860000083,7860246916,246833
8,90246333,7870000083,7870246416,246333
9,100246125,7880000083,7880246208,246125
10,110248541,7890000083,7890248625,248542
11,120246291,7900000083,7900246375,246292
12,130246083,7910000083,7910246166,246083
13,140247041,7920000083,7920247125,247042
14,150246250,7930000083,7930246333,246250
15,160246916,7940000083,7940247000,246917
16,170244958,7950000083,7950245041,244958
17,180246791,7960000083,7960246875,246792
18,190249791,7970000083,7970249875,249792
19,200248416,7980000083,7980248500,248417
20,210249375,7990000083,7990249458,249375
21,220250041,8000000083,8000250125,250042
22,230249541,8010000083,8010249625,249542
23,240249041,8020000083,8020249125,249042
24,250249708,8030000083,8030249791,249708
25,260607958,8040000083,8040608041,607958
26,270322791,8050000083,8050322875,322792
27,280246166,8060000083,8060246250,246167
28,290246833,8070000083,8070246916,246833
29,300246041,8080000083,8080246125,246042
30,310244375,8090000083,8090244458,244375
31,320245916,8100000083,8100246000,245917
32,330247166,8110000083,8110247250,247167
33,340246375,8120000083,8120246458,246375
34,350246166,8130000083,8130246250,246167
35,360246833,8140000083,8140246916,246833
36,370245166,8150000083,8150245250,245167
37,380245833,8160000083,8160245916,245833
38,390246500,8170000083,8170246583,246500
39,400247458,8180000083,8180247541,247458
40,410245208,8190000083,8190245291,245208
41,420245000,8200000083,8200245083,245000
42,430245666,8210000083,8210245750,245667
43,440247500,8220000083,8220247583,247500
44,450248166,8230000083,8230248250,248167
45,460250875,8240000083,8240250958,250875
46,470250375,8250000083,8250250458,250375
47,480250750,8260000083,8260250833,250750
48,490249083,8270000083,8270249166,249083
49,500249750,8280000083,8280249833,249750
50,510581166,8290000083,8290581250,581167
51,520244958,8300000083,8300245041,244958
52,530241250,8310000083,8310241333,241250
53,540246291,8320000083,8320246375,246292
54,550246958,8330000083,8330247041,246958
55,560245000,8340000083,8340245083,245000
56,570249166,8350000083,8350249250,249167
57,580245750,8360000083,8360245833,245750
58,590246125,8370000083,8370246208,246125
59,600246208,8380000083,8380246291,246208
60,610247458,8390000083,8390247541,247458
61,620245791,8400000083,8400245875,245792
62,630246166,8410000083,8410246250,246167
63,640246541,8420000083,8420246625,246542
64,650246333,8430000083,8430246416,246333
65,660246416,8440000083,8440246500,246417
66,670245916,8450000083,8450246000,245917
67,680245708,8460000083,8460245791,245708
68,690248125,8470000083,8470248208,248125
69,700246750,8480000083,8480246833,246750
70,710248291,8490000083,8490248375,248292
71,720249541,8500000083,8500249625,249542
72,730261000,8510000083,8510261083,261000
73,740250875,8520000083,8520250958,250875
74,750254166,8530000083,8530254250,254167
75,760394250,8540000083,8540394333,394250
76,770245875,8550000083,8550245958,245875
77,780245666,8560000083,8560245750,245667
78,790246916,8570000083,8570247000,246917
79,800247291,8580000083,8580247375,247292
80,810246500,8590000083,8590246583,246500
81,820246000,8600000083,8600246083,246000
82,830245500,8610000083,8610245583,245500
83,840246166,8620000083,8620246250,246167
84,850248875,8630000083,8630248958,248875
85,860245166,8640000083,8640245250,245167
86,870247291,8650000083,8650247375,247292
87,880245916,8660000083,8660246000,245917
88,890246291,8670000083,8670246375,246292
89,900245791,8680000083,8680245875,245792
90,910245875,8690000083,8690245958,245875
91,920245375,8700000083,8700245458,245375
92,930242541,8710000083,8710242625,242542
93,940252250,8720000083,8720252333,252250
94,950246500,8730000083,8730246583,246500
95,960248041,8740000083,8740248125,248042
96,970247250,8750000083,8750247333,247250
97,980250250,8760000083,8760250333,250250
98,990251208,8770000083,8770251291,251208
99,1000250416,8780000083,8780250500,250417
100,1010251958,8790000083,8790252041,251958
101,1020483916,8800000083,8800484000,483917
102,1030303750,8810000083,8810303833,303750
103,1040246083,8820000083,8820246166,246083
104,1050248500,8830000083,8830248583,248500
105,1060245666,8840000083,8840245750,245667
106,1070247208,8850000083,8850247291,247208
107,1080246125,8860000083,8860246208,246125
108,1090245916,8870000083,8870246000,245917
109,1100246291,8880000083,8880246375,246292
110,1110245500,8890000083,8890245583,245500
111,1120248791,8900000083,8900248875,248792
112,1130241875,8910000083,8910241958,241875
113,1140245458,8920000083,8920245541,245458
114,1150249041,8930000083,8930249125,249042
115,1160247083,8940000083,8940247166,247083
116,1170245708,8950000083,8950245791,245708
