*** Booting Zephyr OS build dccb09599635bdff17633fa7e9dab014b91dce90 ***
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,11748336,18019088,19767424,1748336
1,20222192,28019088,28241280,222192
2,30145232,38019088,38164320,145232
3,40154288,48019088,48173376,154288
4,50092624,58019088,58111712,92624
5,60108912,68019088,68128000,108912
6,70055760,78019088,78074848,55760
7,80094784,88019088,88113872,94784
8,90165760,98019088,98184848,165760
9,100152848,108019088,108171936,152848
10,110216816,118019088,118235904,216816
11,120202608,128019088,128221696,202608
12,130155520,138019088,138174608,155520
13,140160752,148019088,148179840,160752
14,150219008,158019088,158238096,219008
15,160189040,168019088,168208128,189040
16,170181136,178019088,178200224,181136
17,180171056,188019088,188190144,171056
18,190127120,198019088,198146208,127120
19,200251008,208019088,208270096,251008
20,210144496,218019088,218163584,144496
21,220267104,228019088,228286192,267104
22,230161296,238019088,238180384,161296
23,240261328,248019088,248280416,261328
24,250216720,258019088,258235808,216720
25,260118480,268019088,268137568,118480
26,270153936,278019088,278173024,153936
27,280503424,288019088,288522512,503424
28,290407728,298019088,298426816,407728
29,300410048,308019088,308429136,410048
30,310255568,318019088,318274656,255568
31,320309680,328019088,328328768,309680
32,330342848,338019088,338361936,342848
33,340307760,348019088,348326848,307760
34,350388048,358019088,358407136,388048
35,360236848,368019088,368255936,236848
36,370171328,378019088,378190416,171328
37,380261184,388019088,388280272,261184
38,390122352,398019088,398141440,122352
39,400336768,408019088,408355856,336768
40,410305632,418019088,418324720,305632
41,420334192,428019088,428353280,334192
42,430199728,438019088,438218816,199728
43,440257088,448019088,448276176,257088
44,450134784,458019088,458153872,134784
45,460238432,468019088,468257520,238432
46,470318256,478019088,478337344,318256
47,480157728,488019088,488176816,157728
48,490155632,498019088,498174720,155632
49,500148304,508019088,508167392,148304
50,510168576,518019088,518187664,168576
51,520166656,528019088,528185744,166656
52,530106560,538019088,538125648,106560
53,540076672,548019088,548095760,76672
54,550186736,558019088,558205824,186736
55,560129616,568019088,568148704,129616
56,570142256,578019088,578161344,142256
57,580174480,588019088,588193568,174480
58,590287264,598019088,598306352,287264
59,600273744,608019088,608292832,273744
60,610227296,618019088,618246384,227296
61,620225424,628019088,628244512,225424
62,630110160,638019088,638129248,110160
63,640232496,648019088,648251584,232496
64,650272192,658019088,658291280,272192
65,660164608,668019088,668183696,164608
66,670209840,678019088,678228928,209840
67,680333360,688019088,688352448,333360
68,690212832,698019088,698231920,212832
69,700357888,708019088,708376976,357888
70,710437792,718019088,718456880,437792
71,720374256,728019088,728393344,374256
72,730178944,738019088,738198032,178944
73,740317872,748019088,748336960,317872
74,750471408,758019088,758490496,471408
75,760376912,768019088,768396000,376912
76,770207984,778019088,778227072,207984
77,780452512,788019088,788471600,452512
78,790366272,798019088,798385360,366272
79,800297376,808019088,808316464,297376
80,810474336,818019088,818493424,474336
81,820496848,828019088,828515936,496848
82,830161008,838019088,838180096,161008
83,840137824,848019088,848156912,137824
84,850239424,858019088,858258512,239424
85,860138288,868019088,868157376,138288
86,870189424,878019088,878208512,189424
87,880237136,888019088,888256224,237136
88,890201520,898019088,898220608,201520
89,900206400,908019088,908225488,206400
90,910228640,918019088,918247728,228640
91,920235632,928019088,928254720,235632
92,930134080,938019088,938153168,134080
93,940162320,948019088,948181408,162320
94,950185488,958019088,958204576,185488
95,960113376,968019088,968132464,113376
96,970133456,978019088,978152544,133456
97,980125616,988019088,988144704,125616
98,990118336,998019088,998137424,118336
99,1000134160,1008019088,1008153248,134160
100,1010096112,1018019088,1018115200,96112
101,1020083344,1028019088,1028102432,83344
102,1030130816,1038019088,1038149904,130816
103,1040188112,1048019088,1048207200,188112
104,1050201264,1058019088,1058220352,201264
105,1060172736,1068019088,1068191824,172736
106,1070096624,1078019088,1078115712,96624
107,1080127296,1088019088,1088146384,127296
108,1090173056,1098019088,1098192144,173056
109,1100126176,1108019088,1108145264,126176
110,1110109744,1118019088,1118128832,109744
111,1120090224,1128019088,1128109312,90224
112,1130100528,1138019088,1138119616,100528
113,1140067584,1148019088,1148086672,67584
114,1150028048,1158019088,1158047136,28048
115,1160071264,1168019088,1168090352,71264
116,1170169136,1178019088,1178188224,169136
117,1180123264,1188019088,1188142352,123264
118,1190156832,1198019088,1198175920,156832
119,1200194880,1208019088,1208213968,194880
120,1210158704,1218019088,1218177792,158704
121,1220126176,1228019088,1228145264,126176
122,1230172880,1238019088,1238191968,172880
123,1240104000,1248019088,1248123088,104000
124,1250167360,1258019088,1258186448,167360
125,1260179632,1268019088,1268198720,179632
126,1270165072,1278019088,1278184160,165072
127,1280191232,1288019088,1288210320,191232
128,1290228384,1298019088,1298247472,228384
129,1300234544,1308019088,1308253632,234544
130,1310162176,1318019088,1318181264,162176
131,1320114304,1328019088,1328133392,114304
132,1330196992,1338019088,1338216080,196992
133,1340189040,1348019088,1348208128,189040
134,1350090976,1358019088,1358110064,90976
135,1360120752,1368019088,1368139840,120752
136,1370200256,1378019088,1378219344,200256
137,1380125312,1388019088,1388144400,125312
138,1390168864,1398019088,1398187952,168864
139,1400350992,1408019088,1408370080,350992
140,1410313552,1418019088,1418332640,313552
141,1420226368,1428019088,1428245456,226368
142,1430274928,1438019088,1438294016,274928
143,1440206672,1448019088,1448225760,206672
144,1450157488,1458019088,1458176576,157488
145,1460125408,1468019088,1468144496,125408
146,1470157936,1478019088,1478177024,157936
147,1480087008,1488019088,1488106096,87008
148,1490096000,1498019088,1498115088,96000
149,1500089840,1508019088,1508108928,89840
150,1510081040,1518019088,1518100128,81040
151,1520165360,1528019088,1528184448,165360
152,1530092432,1538019088,1538111520,92432
153,1540135440,1548019088,1548154528,135440
154,1550152800,1558019088,1558171888,152800
155,1560193360,1568019088,1568212448,193360
156,1570176464,1578019088,1578195552,176464
157,1580077968,1588019088,1588097056,77968
158,1590165232,1598019088,1598184320,165232
159,1600270736,1608019088,1608289824,270736
160,1610114912,1618019088,1618134000,114912
161,1620115712,1628019088,1628134800,115712
162,1630111920,1638019088,1638131008,111920
163,1640296624,1648019088,1648315712,296624
164,1650227104,1658019088,1658246192,227104
165,1660141856,1668019088,1668160944,141856
166,1670117760,1678019088,1678136848,117760
167,1680098480,1688019088,1688117568,98480
168,1690093472,1698019088,1698112560,93472
169,1700209328,1708019088,1708228416,209328
170,1710178336,1718019088,1718197424,178336
171,1720177984,1728019088,1728197072,177984
172,1730219344,1738019088,1738238432,219344
173,1740092816,1748019088,1748111904,92816
174,1750153680,1758019088,1758172768,153680
175,1760100928,1768019088,1768120016,100928
176,1770210176,1778019088,1778229264,210176
177,1780073712,1788019088,1788092800,73712
178,1790119984,1798019088,1798139072,119984
179,1800236608,1808019088,1808255696,236608
180,1810235888,1818019088,1818254976,235888
181,1820109728,1828019088,1828128816,109728
182,1830057152,1838019088,1838076240,57152
183,1840183808,1848019088,1848202896,183808
184,1850239008,1858019088,1858258096,239008
185,1860210752,1868019088,1868229840,210752
186,1870083680,1878019088,1878102768,83680
187,1880184240,1888019088,1888203328,184240
188,1890382592,1898019088,1898401680,382592
189,1900176992,1908019088,1908196080,176992
190,1910038384,1918019088,1918057472,38384
191,1920034976,1928019088,1928054064,34976
192,1930055936,1938019088,1938075024,55936
193,1940092992,1948019088,1948112080,92992
194,1950385424,1958019088,1958404512,385424
195,1960154624,1968019088,1968173712,154624
196,1970055568,1978019088,1978074656,55568
197,1980073728,1988019088,1988092816,73728
198,1990087664,1998019088,1998106752,87664
199,2000058736,2008019088,2008077824,58736
200,2010072560,2018019088,2018091648,72560
201,2020064880,2028019088,2028083968,64880
202,2030079824,2038019088,2038098912,79824
203,2040069920,2048019088,2048089008,69920
204,2050233968,2058019088,2058253056,233968
205,2060207248,2068019088,2068226336,207248
206,2070066704,2078019088,2078085792,66704
207,2080085952,2088019088,2088105040,85952
208,2090093104,2098019088,2098112192,93104
209,2100025712,2108019088,2108044800,25712
210,2110069616,2118019088,2118088704,69616
211,2120073056,2128019088,2128092144,73056
212,2130045088,2138019088,2138064176,45088
213,2140084624,2148019088,2148103712,84624
214,2150093728,2158019088,2158112816,93728
215,2160227904,2168019088,2168246992,227904
216,2170198848,2178019088,2178217936,198848
217,2180139280,2188019088,2188158368,139280
218,2190121616,2198019088,2198140704,121616
219,2200070880,2208019088,2208089968,70880
220,2210062320,2218019088,2218081408,62320
221,2220062704,2228019088,2228081792,62704
222,2230043712,2238019088,2238062800,43712
223,2240096448,2248019088,2248115536,96448
224,2250244944,2258019088,2258264032,244944
225,2260196560,2268019088,2268215648,196560
226,2270105120,2278019088,2278124208,105120
227,2280055840,2288019088,2288074928,55840
228,2290082752,2298019088,2298101840,82752
229,2300232512,2308019088,2308251600,232512
230,2310140848,2318019088,2318159936,140848
231,2320064672,2328019088,2328083760,64672
232,2330085168,2338019088,2338104256,85168
233,2340087216,2348019088,2348106304,87216
234,2350090608,2358019088,2358109696,90608
235,2360126672,2368019088,2368145760,126672
236,2370228688,2378019088,2378247776,228688
237,2380199840,2388019088,2388218928,199840
238,2390241040,2398019088,2398260128,241040
239,2400220032,2408019088,2408239120,220032
240,2410102544,2418019088,2418121632,102544
241,2420093136,2428019088,2428112224,93136
242,2430116624,2438019088,2438135712,116624
243,2440395152,2448019088,2448414240,395152
244,2450185200,2458019088,2458204288,185200
245,2460338544,2468019088,2468357632,338544
246,2470378176,2478019088,2478397264,378176
247,2480159408,2488019088,2488178496,159408
248,2490241776,2498019088,2498260864,241776
249,2500081472,2508019088,2508100560,81472
250,2510080688,2518019088,2518099776,80688
251,2520229472,2528019088,2528248560,229472
252,2530237664,2538019088,2538256752,237664
253,2540203264,2548019088,2548222352,203264
254,2550225456,2558019088,2558244544,225456
255,2560233040,2568019088,2568252128,233040
PERIODIC LATENCY CHUNK end=256
256,2570172912,2578019088,2578192000,172912
257,2580068032,2588019088,2588087120,68032
258,2590067536,2598019088,2598086624,67536
259,2600065696,2608019088,2608084784,65696
260,2610076112,2618019088,2618095200,76112
261,2620107152,2628019088,2628126240,107152
262,2630147104,2638019088,2638166192,147104
263,2640185248,2648019088,2648204336,185248
264,2650272032,2658019088,2658291120,272032
265,2660216528,2668019088,2668235616,216528
266,2670217648,2678019088,2678236736,217648
267,2680212864,2688019088,2688231952,212864
268,2690225632,2698019088,2698244720,225632
269,2700194944,2708019088,2708214032,194944
270,2710215264,2718019088,2718234352,215264
271,2720223616,2728019088,2728242704,223616
272,2730259584,2738019088,2738278672,259584
273,2740202656,2748019088,2748221744,202656
274,2750292112,2758019088,2758311200,292112
275,2760276512,2768019088,2768295600,276512
276,2770187888,2778019088,2778206976,187888
277,2780121952,2788019088,2788141040,121952
278,2790172640,2798019088,2798191728,172640
279,2800141216,2808019088,2808160304,141216
280,2810175440,2818019088,2818194528,175440
281,2820131600,2828019088,2828150688,131600
282,2830076720,2838019088,2838095808,76720
283,2840098896,2848019088,2848117984,98896
284,2850031808,2858019088,2858050896,31808
285,2860051936,2868019088,2868071024,51936
286,2870076160,2878019088,2878095248,76160
287,2880028752,2888019088,2888047840,28752
288,2890072320,2898019088,2898091408,72320
289,2900064400,2908019088,2908083488,64400
290,2910128864,2918019088,2918147952,128864
291,2920043856,2928019088,2928062944,43856
292,2930214432,2938019088,2938233520,214432
293,2940073824,2948019088,2948092912,73824
294,2950117904,2958019088,2958136992,117904
295,2960110640,2968019088,2968129728,110640
296,2970085856,2978019088,2978104944,85856
297,2980195264,2988019088,2988214352,195264
298,2990387840,2998019088,2998406928,387840
299,3000408864,3008019088,3008427952,408864
300,3010230384,3018019088,3018249472,230384
301,3020250560,3028019088,3028269648,250560
302,3030141040,3038019088,3038160128,141040
303,3040230896,3048019088,3048249984,230896
304,3050237232,3058019088,3058256320,237232
305,3060278480,3068019088,3068297568,278480
306,3070243856,3078019088,3078262944,243856
307,3080137472,3088019088,3088156560,137472
308,3090306448,3098019088,3098325536,306448
309,3100136416,3108019088,3108155504,136416
310,3110370272,3118019088,3118389360,370272
311,3120186400,3128019088,3128205488,186400
312,3130221120,3138019088,3138240208,221120
313,3140242528,3148019088,3148261616,242528
314,3150273968,3158019088,3158293056,273968
315,3160267920,3168019088,3168287008,267920
316,3170177248,3178019088,3178196336,177248
317,3180124832,3188019088,3188143920,124832
318,3190113104,3198019088,3198132192,113104
319,3200252400,3208019088,3208271488,252400
320,3210115232,3218019088,3218134320,115232
321,3220226752,3228019088,3228245840,226752
322,3230198800,3238019088,3238217888,198800
323,3240229600,3248019088,3248248688,229600
324,3250243216,3258019088,3258262304,243216
325,3260096080,3268019088,3268115168,96080
326,3270253296,3278019088,3278272384,253296
327,3280224464,3288019088,3288243552,224464
328,3290184448,3298019088,3298203536,184448
329,3300404176,3308019088,3308423264,404176
330,3310305472,3318019088,3318324560,305472
331,3320100464,3328019088,3328119552,100464
332,3330258096,3338019088,3338277184,258096
333,3340098576,3348019088,3348117664,98576
334,3350106432,3358019088,3358125520,106432
335,3360127680,3368019088,3368146768,127680
336,3370313904,3378019088,3378332992,313904
337,3380321312,3388019088,3388340400,321312
338,3390172992,3398019088,3398192080,172992
339,3400298128,3408019088,3408317216,298128
340,3410310000,3418019088,3418329088,310000
341,3420267728,3428019088,3428286816,267728
342,3430229488,3438019088,3438248576,229488
343,3440389824,3448019088,3448408912,389824
344,3450206032,3458019088,3458225120,206032
345,3460230096,3468019088,3468249184,230096
346,3470255776,3478019088,3478274864,255776
347,3480340432,3488019088,3488359520,340432
348,3490238576,3498019088,3498257664,238576
349,3500264736,3508019088,3508283824,264736
350,3510168784,3518019088,3518187872,168784
351,3520196752,3528019088,3528215840,196752
352,3530179504,3538019088,3538198592,179504
353,3540092896,3548019088,3548111984,92896
354,3550271024,3558019088,3558290112,271024
355,3560213808,3568019088,3568232896,213808
356,3570234864,3578019088,3578253952,234864
357,3580330304,3588019088,3588349392,330304
358,3590138512,3598019088,3598157600,138512
359,3600226192,3608019088,3608245280,226192
360,3610222000,3618019088,3618241088,222000
361,3620179856,3628019088,3628198944,179856
362,3630217360,3638019088,3638236448,217360
363,3640398256,3648019088,3648417344,398256
364,3650224144,3658019088,3658243232,224144
365,3660276128,3668019088,3668295216,276128
366,3670212320,3678019088,3678231408,212320
367,3680278272,3688019088,3688297360,278272
368,3690175488,3698019088,3698194576,175488
369,3700193664,3708019088,3708212752,193664
370,3710237952,3718019088,3718257040,237952
371,3720250912,3728019088,3728270000,250912
372,3730074928,3738019088,3738094016,74928
373,3740132960,3748019088,3748152048,132960
374,3750237616,3758019088,3758256704,237616
375,3760235648,3768019088,3768254736,235648
376,3770269744,3778019088,3778288832,269744
377,3780110992,3788019088,3788130080,110992
378,3790230752,3798019088,3798249840,230752
379,3800248128,3808019088,3808267216,248128
380,3810233776,3818019088,3818252864,233776
381,3820221760,3828019088,3828240848,221760
382,3830175424,3838019088,3838194512,175424
383,3840224704,3848019088,3848243792,224704
384,3850268880,3858019088,3858287968,268880
385,3860209280,3868019088,3868228368,209280
386,3870109136,3878019088,3878128224,109136
387,3880196800,3888019088,3888215888,196800
388,3890150928,3898019088,3898170016,150928
389,3900247392,3908019088,3908266480,247392
390,3910384048,3918019088,3918403136,384048
391,3920382208,3928019088,3928401296,382208
392,3930234224,3938019088,3938253312,234224
393,3940324128,3948019088,3948343216,324128
394,3950217776,3958019088,3958236864,217776
395,3960104528,3968019088,3968123616,104528
396,3970088752,3978019088,3978107840,88752
397,3980073280,3988019088,3988092368,73280
398,3990109072,3998019088,3998128160,109072
399,4000214720,4008019088,4008233808,214720
400,4010348512,4018019088,4018367600,348512
401,4020206960,4028019088,4028226048,206960
402,4030202224,4038019088,4038221312,202224
403,4040367536,4048019088,4048386624,367536
404,4050267680,4058019088,4058286768,267680
